keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
http://t.co/oHz8PNAqBE,LINK,0,700,468,618,Take a nap anytime�anywhere! http://t.co/oHz8PNAqBE http://t.co/MV4Gnzss15,700,468,618,Amazon,28/03/2015
http://t.co/MV4Gnzss15,LINK,0,700,468,618,Take a nap anytime�anywhere! http://t.co/oHz8PNAqBE http://t.co/MV4Gnzss15,700,468,618,Amazon,12/1/2015
http://t.co/ocioqJqPVu,LINK,0,831,197,609,Retweet if this prize sounds sweet! Enter at this link for a chance to win --&gt; http://t.co/ocioqJqPVu NoPurchNec http://t.co/JZDb0nBrQo,831,197,609,Amazon,22/06/2015
http://t.co/JZDb0nBrQo,LINK,0,831,197,609,Retweet if this prize sounds sweet! Enter at this link for a chance to win --&gt; http://t.co/ocioqJqPVu NoPurchNec http://t.co/JZDb0nBrQo,831,197,609,Amazon,22/03/2015
http://t.co/X3WdeN2QqS,LINK,0,873,108,605,Follow amazon and retweet for a chance to win http://t.co/BMhqGEr7dk Rules http://t.co/leojND6tGx #AmazonSweeps http://t.co/X3WdeN2QqS,873,108,605,Amazon,4/6/2015
https://t.co/Ji0ALS8RVV,LINK,0,854,144,605,RT Amazon3PSellers: RT/Follow for a chance to win a HemingWeigh Yoga Mat Bag! NoPurchNec #AmazonGiveaway Rules: https://t.co/Ji0ALS8RVV ht�,854,144,605,Amazon,21/04/2015
HemingWeigh Yoga,OTHER,0.662327647,854,144,605,RT Amazon3PSellers: RT/Follow for a chance to win a HemingWeigh Yoga Mat Bag! NoPurchNec #AmazonGiveaway Rules: https://t.co/Ji0ALS8RVV ht�,854,144,605,Amazon,28/11/2014
http://t.co/leojND6tGx,LINK,0,873,108,605,Follow amazon and retweet for a chance to win http://t.co/BMhqGEr7dk Rules http://t.co/leojND6tGx #AmazonSweeps http://t.co/X3WdeN2QqS,873,108,605,Amazon,7/4/2015
http://t.co/BMhqGEr7dk,LINK,0,873,108,605,Follow amazon and retweet for a chance to win http://t.co/BMhqGEr7dk Rules http://t.co/leojND6tGx #AmazonSweeps http://t.co/X3WdeN2QqS,873,108,605,Amazon,11/5/2015
gift idea,OTHER,0.003596856,621,570,599,Enter for a chance to win this Father's Day gift idea Giveaway https://t.co/Svti5hR2gm NoPurchNec #AmazonGiveaway http://t.co/IYfuq8S0Nd,130,124,127,Amazon,9/6/2015
