keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
http://t.co/wy3BCKyMMb,LINK,0.0,1578,158,1081,Follow amazon and retweet for a chance to win http://t.co/Nqk8rULbRv Rules http://t.co/iLhTpsCOr1 #AmazonSweeps http://t.co/wy3BCKyMMb,1578,158,1081
http://t.co/uAVfkKwJLm,LINK,0.0,1832,196,1259,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/uAVfkKwJLm NoPurchNec http://t.co/5oqmCModom #giveaway http://t.co/a�,1832,196,1259
@TigerDirect,USERNAME,0.88310349,1766,209,1221,RT Amazon3PSellers: RT + Follow for a chance to win a HP Monitor from TigerDirect! NoPurchNec #AmazonSweeps Rules http://t.co/mA6FYiyCSp �,1766,209,1221
http://t.co/lWmvEGXWSV,LINK,0.0,1407,170,974,RT Amazon3PSellers: RT + Follow for a chance to win jackeryinc bundle number two! NoPurchNec #AmazonSweeps Rules: http://t.co/lWmvEGXWSV �,1407,170,974
http://t.co/W004n48opu,LINK,0.0,1318,134,903,Follow Amazon and retweet for a chance to win http://t.co/JAtFwveAMn Rules https://t.co/ihclSvnjYu #AmazonSweeps http://t.co/W004n48opu,1318,134,903
http://t.co/uJEcAHgEGg,LINK,0.0,1488,204,1038,RT Amazon3PSellers: Follow+RT for a chance to win a Refurbished Acer Tablethttp://t.co/uJEcAHgEGghttp://t.co/MLGJEJZWPD#AmazonSweeps ht�,1488,204,1038
http://t.co/brHbUzuAB3,LINK,0.0,1098,131,759,Follow amazon and retweet for a chance to win http://t.co/brHbUzuAB3 Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/OxA2Xdhx9Z,1098,131,759
http://t.co/wXwsFw9gEG,LINK,0.0,1453,160,1000,RT Amazon3PSellers: RT + Follow for a chance to win this AnkerOfficial Charger! NoPurchNec #AmazonGiveaway Rules: http://t.co/wXwsFw9gEG �,1453,160,1000
#MarchMadness,HASHTAG,-0.08455576223547949,334,1322,674,RT amazonfire: Our tablets won't bust even if your bracket does. Fire HD�the official tablet of #MarchMadnesshttps://t.co/X2sqqzS9z6,64,320,153
http://t.co/juw29kskQl,LINK,0.0,1797,165,1225,Follow Amazon and Retweet for a chance to win http://t.co/juw29kskQl #AmazonSweeps Rules https://t.co/8F2M9LyT8e http://t.co/9nWbOcq9C1,1797,165,1225
http://t.co/1aj7juOpi8,LINK,0.0,2114,214,1449,RT for a chance to win this watch. NoPurchNec http://t.co/RWY8EhTIfE #AmazonGiveaway Rules: https://t.co/HxuKy8s9Ry http://t.co/1aj7juOpi8,2114,214,1449
#YourTimeHasCome,HASHTAG,0.0,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526
@LittleBigPlanet,USERNAME,0.441551745,2103,290,1468,RT amazongames: Sackboy's back! Follow &amp; RT for a chance to win LittleBigPlanet 3 for #PS4 #12DaysOfGiveaways http://t.co/I2e23TnBvK http�,2103,290,1468
http://t.co/ji5FECrL35,LINK,0.0,2002,257,1391,RT amazongames: Follow &amp; RT for a chance to win one of eight DisneyInfinity Starter Packs. #AmazonGiveaway http://t.co/ji5FECrL35 http://�,2002,257,1391
@transparent_tv,USERNAME,0.0,1305,1166,1254,RT transparent_tv: This Saturday all Episodes of #Transparent will be available FREE for 24 hours only! Let the countdown begin! http://t�,792,389,650
Hewlett-Packard,OTHER,0.441551745,1779,228,1236,RT Amazon3PSellers: RT + Follow for a chance to win a HP Monitor from TigerDirect! NoPurchNec #AmazonSweeps Rules http://t.co/mA6FYiyCSp �,1766,209,1221
http://t.co/yJq3SSgmj7,LINK,0.0,1316,176,916,RT Amazon3PSellers: Follow + RT for a chance to win: jackeryinc signed by Money23Green http://t.co/yJq3SSgmj7http://t.co/dfkBlXi8wO ht�,1316,176,916
@5gum,USERNAME,0.0,64,1009,393,Which side are you on in the #CandyBracket? Favorite to vote for Twix Reply to vote for 5gum http://t.co/EzuuPjLeBy,19,358,137
friends,OTHER,-0.07333333783333332,234,365,278,RT AmazonKindle: Good books make good friends #NationalReadingMonth #Kindle http://t.co/mH3V1LHxCr,135,136,135
@SNICKERS,USERNAME,0.15367960386666665,1005,957,985,#CandyBracket battle of the bars: SNICKERS VS Twix. RT to vote Snickers Fav to vote Twix. Winner goes to the semis. http://t.co/YjNIt6Yhrf,265,358,297
http://t.co/OurBZonokE,LINK,0.0,1082,139,751,Follow amazon and retweet for a chance to win http://t.co/7OKRYpz8Fs Rules http://t.co/OurBZonokE #AmazonSweeps http://t.co/QHJJNqkcWz,1082,139,751
http://t.co/qFPIp3nAia,LINK,0.0,1636,245,1149,Follow Amazon and retweet for a chance to win http://t.co/fZCgXYAqTC Rules https://t.co/AFRt8Fmjr3 #AmazonSweeps http://t.co/qFPIp3nAia,1636,245,1149
http://t.co/XYyEI9LpXm,LINK,0.0,1144,737,1001,In case you ever need to pump deflated footballs http://t.co/jf5ERUAUUf http://t.co/XYyEI9LpXm,1144,737,1001
http://t.co/ZbEPJr9LSb,LINK,0.0,1762,189,1211,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/ZbEPJr9LSb NoPurchNec http://t.co/vFe51zmj2M #giveaway http://t.co/U�,1762,189,1211
http://t.co/MsRLWzE1zl,LINK,0.0,1828,219,1264,Follow Amazon and RT for a chance to win http://t.co/MsRLWzE1zl Rules https://t.co/34k8zwb4eU #AmazonSweeps http://t.co/qLhBJCG4G4,1828,219,1264
#GoldenGlobes,HASHTAG,0.01667361145138889,963,1412,1118,RT transparent_tv: And the winner is...#Transparent #GoldenGlobes #Moppa jillsoloway,232,428,300
honor,OTHER,0.675834715,1656,1286,1526,RT NBA2K: #NBA2K15 is partnering with amazongames for a 35-hour sale at $35 in honor of 35's return. #YourTimeHasCome KDTrey5 http://t.c�,1656,1286,1526
Celebrate,OTHER,0.045954238150156264,1380,1285,1340,RT AmazonKindle: Celebrate National Reading Month with $20 off Kindle: http://t.co/EHCZvRvXSB  Limited-time only. http://t.co/0wUOb9YqgG,486,372,446
http://t.co/iGKhQRm43K,LINK,0.0,923,186,665,Retweet if this prize sounds sweet! Enter at this link for a chance to win: http://t.co/iGKhQRm43K NoPurchNec http://t.co/d87IpsWmVr,923,186,665
#FallonStockingSweeps,HASHTAG,0.0,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515
awarded,OTHER,0.20416667083333334,369,349,360,Enter for a chance to win this #AmazonGiveaway https://t.co/ejUfbu1X0K NoPurchNec. Ends when all prizes awarded http://t.co/R9k4c8jh42,159,106,140
http://t.co/0SXxXtpRHk,LINK,0.0,1175,142,813,Follow amazon and RT for a chance to win http://t.co/0SXxXtpRHk #AmazonSweeps Rules: https://t.co/v7PSyBGwm2 http://t.co/9YF7Kl8M4z,1175,142,813
https://t.co/g6cLhO7tPW,LINK,0.0,1664,181,1144,Follow Amazon and retweet for a chance to win http://t.co/GE9TAhfRd8 Rules https://t.co/g6cLhO7tPW #AmazonSweeps http://t.co/zpAzOkJyNH,1664,181,1144
Snickers,OTHER,-0.2004222443333333,1054,1474,1198,#CandyBracket battle of the bars: SNICKERS VS Twix. RT to vote Snickers Fav to vote Twix. Winner goes to the semis. http://t.co/YjNIt6Yhrf,265,358,297
@Bose,USERNAME,0.0,1951,706,1515,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515
#FarCry4,HASHTAG,0.441551745,2401,284,1660,RT amazongames: More #12DaysOfGiveaways! Follow &amp; RT for a chance to win #FarCry4 for #PS4 or #XboxOne. http://t.co/5Z2q2W2rM1 http://t.co�,2401,284,1660
@dragonage,USERNAME,-0.035890788,2605,285,1792,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792
http://t.co/v3sJAFw3oG,LINK,0.0,2251,236,1545,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/v3sJAFw3oG NoPurchNec http://t.co/bARphRhah5 #giveaway http://t.co/r�,2251,236,1545
