keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
tops,OTHER,0.064166669,650,277,518,Ginni Rometty tops @businessinsider's 2015 list of most powerful women engineers http://t.co/h4gQAiGShL http://t.co/sj4Yq1Nxtb,143,72,118
major commitment,OTHER,0.365333349,572,936,699,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
hard drive,OTHER,-0.331298381,362,140,284,"The first hard drive, released by #IBM in 1956, is @Wired's Tech Time Warp of the Week: http://t.co/tJiH356ife http://t.co/rSVyANDRGb",181,70,142
#P4SC,HASHTAG,1.95E-04,232,83,177,Happy #EarthDay! Learn about new tech aimed at creating sustainable communities http://t.co/x9j1Wg0elA #P4SC http://t.co/4607jBZRxD,42,17,33
@LisaSeacat,USERNAME,6.99E-05,349,191,287,"RT @SmarterPlanet: Meet #IBM master inventor @LisaSeacat, she has 115 patents to her name. http://t.co/EH2BmaqTNM #WomenInTech http://t.co/•À_",73,30,57
personalized brand experiences,OTHER,0,491,213,393,IBM and @facebook team up to deliver personalized brand experiences: http://t.co/2KcPyZL4ss  #IBMandFacebook http://t.co/Ig80CY4Jij,382,152,301
significant,OTHER,1.044033527,131,78,112,"""The partnership between IBM &amp; Apple is...the most significant technology news of 2014."" http://t.co/DFytiisxHj http://t.co/744AfSz9eq",131,78,112
http://t.co/m6mOcX7riw,LINK,0,98,73,89,"""Design is the silent ambassador of your brand."" -Paul Rand cc @IBMDesign http://t.co/m6mOcX7riw",98,73,89
#Didyouknow,HASHTAG,2.78E-05,381,153,298,#Didyouknow @IBMWatson can analyze your personality? Personality Insights now on @IBMBluemix http://t.co/oNVUKtPsmp http://t.co/TjQ37jnZkG,116,44,90
http://t.co/h4gQAiGShL,LINK,0,365,198,306,Ginni Rometty tops @businessinsider's 2015 list of most powerful women engineers http://t.co/h4gQAiGShL http://t.co/sj4Yq1Nxtb,143,72,118
now available,OTHER,0.048173781,419,245,352,Ability to merge predictive analytics w/ Twitter data now available in #WatsonAnalytics http://t.co/tbomixijA7 http://t.co/zvOW0E7Xg6,122,63,101
Available today,OTHER,0.603375018,498,160,378,Available today: first 10 apps from Apple and IBM. More: http://t.co/40ixKLb4gu http://t.co/Za6HT1GC4R,249,80,189
http://t.co/Wt5NxyC10x,LINK,0,185,456,279,See how #IBMandTwitter can help your business make smarter decisions: http://t.co/Wt5NxyC10x #NewWayToWork http://t.co/LTlJy5LoKI,185,456,279
enhance,OTHER,0.208333333,152,42,111,Acquisition of @AlchemyAPI will enhance @IBMWatson's deep learning capabilities http://t.co/GDtaKK3IRI @techcrunch http://t.co/EapS661exx,72,23,54
https://t.co/ZjmBZ6tSDK,LINK,0,122,124,122,"Proud to be a sponsor of ""Everything is Design"" exhibit at the @MuseumofCityNY, including #PaulRand's IBM logo work https://t.co/ZjmBZ6tSDK",122,124,122
preferred,OTHER,0.482500017,151,40,112,RT @IBMcloud: BREAKING: @IDC ranks IBM No. 1 preferred provider of #IaaS cloud by enterprises •À_ http://t.co/nBv8p1rjhZ http://t.co/B44qVsCr•À_,151,40,112
http://t.co/Nokgc1Bz7h,LINK,0,875,278,666,IBM and Apple join forces to transform the way work is done: http://t.co/FE3BWtGgWm http://t.co/Nokgc1Bz7h,875,278,666
https://t.co/7IHNsVtEu6,LINK,0,179,300,221,RT @levie: Extremely pumped to be partnering with the company that literally invented business computing. https://t.co/7IHNsVtEu6,179,300,221
@WIRED,USERNAME,0.009158679,391,154,305,IBM and @Facebook to provide brands w/ tailored marketing capabilities http://t.co/8FxeQscOHG @WIRED #IBMandFacebook http://t.co/SFdmsURoGV,133,68,110
insights,OTHER,0.041134318,589,226,455,"Just released: IBM #CIO Study, with insights from more than 1,600 CIOs in 70 countries http://t.co/zTkbvZ2PMa http://t.co/BWxExNlOce",147,41,109
