ID,Source Text,Summary,Detected Language,Detected Language Strength,Document Sentiment,Document Sentiment +/-,Model Sentiment,Model Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Suggested Phrase,Entity,Entity Type,Entity Sentiment,Entity Sentiment +/-,Entity Sentiment Evidence,Theme,Theme Sentiment,Theme Sentiment +/-,Theme Sentiment Evidence,Wikipedia™ Category,Wikipedia Sub Category,Wikipedia Category Strength,User Category,User Category Strength,User Category Sentiment,User Category Sentiment +/-,Query Category,Query Sub Category,Query Category Sentiment,Query Category Sentiment +/-,Query Category Relevancy,Intention Type,Who,What,Evidence
435b37df-01d7-49ec-a393-7f840eeba549,A huge thank you to the talented team at Apple who make days like this possible. It's a privilege to work along side of you.,A huge thank you to the talented team at Apple who make days like this possible... It's a privilege to work along side of you... ,English,22,0.449999988,positive,,,,,huge,0.200000003,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,
3aebbeda-fea4-43c5-b48c-1fe4f518713d,Getting psyched backstage listening to I Lived by @OneRepublic.,Getting psyched backstage listening to I Lived by  @OneRepublic... ,English,4,0,neutral,,,,,,,,backstage listening, @OneRepublic,Person,0,neutral,4,,,,,,,,,,,,,,,,,,,,
8eae80c3-9447-4aaa-8ed9-cff483c8bb30,Got some extra rest for today's event. Slept in 'til 4:30.,Got some extra rest for today's event... Slept in 'til 4:30... ,English,6,0,neutral,,,,,,,,extra rest,,,,,,extra rest,0,neutral,4,,,,Sports,0.905181706,0,neutral,,,,,,,,,
3aa0cde7-8d79-4699-b8b7-ee2a2a6c4366,"Honoring those who marched 50 years ago, and those who continue the fight for justice and equality today. #Selma50","Honoring those who marched 50 years ago, and those who continue the fight for justice and equality today... ",English,12,0.042500004,neutral,,,,,Honoring,0.485000014,positive,, #Selma50,Pattern,0,neutral,2,equality today,0.042500004,neutral,4,,,,Law,0.476589978,0.042500004,neutral,,,,,,,,,
3aa0cde7-8d79-4699-b8b7-ee2a2a6c4366,"Honoring those who marched 50 years ago, and those who continue the fight for justice and equality today. #Selma50","Honoring those who marched 50 years ago, and those who continue the fight for justice and equality today... ",English,12,0.042500004,neutral,,,,,fight,-0.400000006,negative,,,,,,,,,,,,,,,,,,,,,,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,"AppleCheck it out! Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6. http://t.co/J0HL5KEBLS","Apple Check it out!... Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6... ",English,11,0.518333375,positive,,,,,Celebrating,0.574999988,positive,,  http://t.co/J0HL5KEBLS,Regex,0,neutral,0,breathtaking photos,0.49000001,neutral,4,Internet,,0.561011136,Banking,0.456344426,0.518333375,positive,Technology,,0.49000001,neutral,1,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,"AppleCheck it out! Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6. http://t.co/J0HL5KEBLS","Apple Check it out!... Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6... ",English,11,0.518333375,positive,,,,,amazing,0.49000001,positive,,,,,,,,,,,Internet,Image_hosting,0.596496522,,,,,,,,,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,"AppleCheck it out! Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6. http://t.co/J0HL5KEBLS","Apple Check it out!... Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6... ",English,11,0.518333375,positive,,,,,breathtaking,0.49000001,positive,,,,,,,,,,,Internet,Photo_sharing,0.578761935,,,,,,,,,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,"AppleCheck it out! Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6. http://t.co/J0HL5KEBLS","Apple Check it out!... Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6... ",English,11,0.518333375,positive,,,,,,,,,,,,,,,,,,Marketing,,0.499195278,,,,,,,,,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,"AppleCheck it out! Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6. http://t.co/J0HL5KEBLS","Apple Check it out!... Celebrating the amazing, breathtaking photos of our customers shot on iPhone 6... ",English,11,0.518333375,positive,,,,,,,,,,,,,,,,,,Marketing,Advertising_campaigns,0.483238131,,,,,,,,,,,,,
